"Campaign name","Campaign id","Account","Wins","clicks","CPC","CTR","Cost","Spend","Profit"
"Prime concert MW","campaign_yMiTdvKIROliXqherdCVqTvXeBu8It","actor_XWOm2u94dUBj4rdE8ivbBpV4xmrWg","506,769","530","$0.48","0.10%","$176.80","$252.57","$75.77"
"3600548 Havas Viatris Synthroid Brand October 2021_ LN02_728x90","campaign_q7vHrqnTFXfJwvUgvbd9GLKqSsgAr","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","951","1","$5.68","0.11%","$3.97","$5.68","$1.70"
"Trendy bar Facebook","campaign_3PCQvDXWGjA7iQgoR5MIxQuuOPyi4t","actor_MjwPipI1TkXVXKEcCjGqmmhaPEhc4Q","59","59","$0.00","100.00%","$0.06","$0.08","$0.03"
"TranquilZ DT Google- healthiest cities (following SDK removed from GTM to the site)","campaign_Oxo7BiqLBIFMLKjmrTo201709HjTT0","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","24,969","24","$0.26","0.10%","$4.35","$6.21","$1.86"
"3600583 Firth Order Concrete LN01 Optimization","campaign_Guf1V6klPciuVhvi7oq1B5FfiJoxty","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","3,012","3","$2.51","0.10%","$5.27","$7.53","$2.26"
"3600548 Havas Viatris Synthroid Brand October 2021_LN02_320x480","campaign_wuHnKTqILpR2sJ8VHbjz3gyxetFNT","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","959","0","$0.00","0.00%","$2.67","$3.81","$1.14"
"Trendy bar (web LP)","campaign_pEzoBgoQk7ae62yUOSRChd8PPqDF7","actor_MjwPipI1TkXVXKEcCjGqmmhaPEhc4Q","6,612","311","$0.08","4.70%","$18.45","$26.35","$7.90"
"TranquilZ -  retargeting","campaign_g5MO50EKFxo6tvRgtIhP6PzAutQSdE","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","895","1","$0.26","0.11%","$0.18","$0.26","$0.08"
"Express Video (General, Adx) Mobile web only","campaign_AhnqaiKLT5rnt86HqTbVAOgdsPjIk","actor_ATxhfpUHrPpm5s1iU4LOAH2WrcLkTJ","23","0","$0.00","0.00%","$0.07","$0.08","$0.01"
"TranquilZ IA GoogleAdx -Age Targeting","campaign_0GzEpVWOBwKppCVOJHul65aB2xjPTh","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","57,574","42","$0.27","0.07%","$8.06","$11.51","$3.45"
"Prime concert IA","campaign_aUkyg4FTjQjBlxfGgdtAvF2OH8wA7C","actor_XWOm2u94dUBj4rdE8ivbBpV4xmrWg","554,195","1,477","$0.19","0.27%","$193.90","$277.01","$83.10"
"3600548 Havas Viatris Synthroid Brand October 2021_LN02_300x250","campaign_EtQwW0K1oCO16KcDL0zflqlFG7kxF","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","963","1","$1.91","0.10%","$1.34","$1.91","$0.57"
"3600547 Havas Viatris Epipen September 2021_320x50","campaign_N8XReRhlskXmJ0O97yK3vjxfNI9ohU","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","2,924","6","$0.49","0.21%","$2.04","$2.92","$0.88"
"TranquilZ IA iOS - Age targeting","campaign_AXyOFbBPNORQ1Vqsf2KaroserePiNu","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","66,130","74","$0.20","0.11%","$10.54","$15.04","$4.50"
"TranquilZ IA Android - healthiest cities (following SDK removed from GTM to the site)","campaign_wJBINDbGEVOtUdORQ5xLieOP4285w","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","8,000","10","$0.20","0.13%","$1.40","$2.00","$0.60"
"ShopRite -  Location 3","campaign_nsIaaVP3q8z8WDecSp9LbqrsdfmMPp","actor_LsCO3CwhyUXlzCMQf3ueOFPf7Ij2","46,351","79","$1.52","0.17%","$84.05","$120.06","$36.01"
"3600590 Ryman New Zealand Secure Living November 2021 Serviced Apartment","campaign_mtvkx56fGOGf4xsuylb9OwpmU9DMug","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,006","17","$0.23","1.69%","$2.79","$3.98","$1.19"
"Hotels IA","campaign_P2QrbhAAk7x4hX65Jh2JKjiVVSppoT","actor_MjwPipI1TkXVXKEcCjGqmmhaPEhc4Q","3,027","16","$0.94","0.53%","$10.53","$15.04","$4.51"
"Prime concert FB","campaign_lTHIhokcWGH3S0fUpuBVUy6PjxVwvH","actor_XWOm2u94dUBj4rdE8ivbBpV4xmrWg","94","94","$0.00","100.00%","$0.09","$0.13","$0.04"
"3600591 Ryman AU Secure Living November 2021 Serviced Apartment","campaign_OqMIyQsA18vCpuU55lBunnXNUs1cL4","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,004","0","$0.00","0.00%","$2.80","$4.00","$1.20"
"ShopRite -  Location 1","campaign_QIv7yntA0PFRqhUhNRGQ5dScz9CJ4","actor_LsCO3CwhyUXlzCMQf3ueOFPf7Ij2","8,652","32","$0.48","0.37%","$10.68","$15.26","$4.58"
"3600547 Havas Viatris Epipen September 2021_300x250","campaign_SrfdsvyK27y34n8WvS8q0rOU891nKx","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","917","0","$0.00","0.00%","$0.64","$0.91","$0.27"
"TranquilZ IA Android -Age Targeting","campaign_INKmBhmxG5P4Ia6EWvBJCLvyE1cfv","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","126,558","208","$0.13","0.16%","$19.15","$27.32","$8.17"
"Trendy bar (Nav)","campaign_60ljWREfB6Nyqp9KlIAPsGgwNBtW","actor_MjwPipI1TkXVXKEcCjGqmmhaPEhc4Q","6,759","244","$0.11","3.61%","$19.28","$27.54","$8.26"
"3600547 Havas Viatris Epipen September 2021_970x250","campaign_3Gz38PE9QpudyqAOqiEa2Q9o3h7a","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,902","3","$3.79","0.16%","$7.97","$11.38","$3.41"
"TranquilZ IA Android - healthiest cities","campaign_beR8fMKyTTK45ToMwU9Q36JSKVUgN0","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","21,852","13","$0.37","0.06%","$3.36","$4.79","$1.43"
"TN OOREDOO_T1_DeadCells_FP","campaign_ifsg4ppeX4Fm7RDqaNlBd2fD4j1H","actor_JESUydMOlVx8jHikF67OjbLqOu9qom","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
"TranquilZ IA iOS - Radio focused","campaign_wHnVtrd9dtt9n5sdaLxHPnKHpFCos9","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","0","2","$0.00","0.00%","$0.00","$0.00","$0.00"
"NL Wide","campaign_9y3anpovKvNLk2EXBBnhwRfWw7pTCa","actor_i39reHl7iMk03aaKxXmsNdPqE0Ievc","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
"(13) 300x250 Inapp DE Test 0.51","campaign_h1vnWbSsbMepX69wmqKD21K0Bc96Fb","actor_RIJTLUAtbhOCBfM5tRq2A8qU0vRKSu","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
"TranquilZ IA Android -Radio focused","campaign_AUGUkXsrtKuwoCrjAusAeE1b06a0R","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","0","4","$0.00","0.00%","$0.00","$0.00","$0.00"
"TranquilZ IA Android","campaign_rUloqWPhibHGQAt76ztCH5MkrhLMWo","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","0","4","$0.00","0.00%","$0.00","$0.00","$0.00"
"TURQUOISE","campaign_hvcam1FNylkDLgPImMPGWjGB5PzEmb","actor_sPkRhNFQydDsumHKLyukrxcCrRHsu","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
"Refinancing (adx, whitelist)","campaign_F6qDfp78IdwGAUVOMecx4UWB1j7QT","actor_ATxhfpUHrPpm5s1iU4LOAH2WrcLkTJ","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
